year,month,mileage
2022,03,184.33
2022,04,325.28
2022,05,336.12
2022,06,484.07
2022,07,595.20
2022,08,595.20
2022,09,576.00
2022,10,595.20
2022,11,576.00
2022,12,595.20
2023,01,595.20
2023,02,537.60
2023,03,535.39
2023,04,708.41
2023,05,781.20
2023,06,756.00
2023,07,781.20
2023,08,835.62
2023,09,826.99
2023,10,854.55
2023,11,826.99
2023,12,854.55
2024,01,854.55
2024,02,799.42
2024,03,1103.16
2024,04,1265.70
2024,05,1307.89
2024,06,1265.70
2024,07,1307.89
2024,08,1307.89
2024,09,1919.00
2024,10,2228.00
2024,11,2447.00
2024,12,2629.00
2025,01,3509.00
2025,02,3451.81
2025,03,3191.82
2025,04,2311.00
2025,05,2515.00
2025,06,3038.00
2025,07,3028.00
2025,08,2483.00
2025,09,3004.00
2025,10,4740.00
